open_time,close_time,direction,entry,exit,lots,pnl,reason,had_partial,balance_after
2023-08-20 16:00:00,2023-08-20 20:00:00,SELL,26078.87,26176.49520815199,1.02,-109.35951231503226,SL,False,9890.640487684968
2023-08-21 08:00:00,2023-08-21 13:45:00,SELL,25997.67,26091.250747675265,1.05,-108.32928505903041,SL,False,9782.311202625939
2023-08-21 17:00:00,2023-08-21 19:30:00,SELL,26008.36,26131.374956706542,0.79,-104.52881579816807,SL,False,9677.78238682777
2023-08-22 15:00:00,2023-08-22 16:00:00,SELL,25991.89,25867.819514445644,1.17,134.2931680985958,TP,False,9812.075554926367
2023-08-22 16:15:00,2023-08-22 16:30:00,SELL,25847.19,25930.79411010508,1.17,-111.98550882294313,SL,False,9700.090046103423
2023-08-22 16:45:00,2023-08-22 17:15:00,SELL,26007.88,25882.473834842385,1.16,133.56955158283426,TP,False,9833.659597686257
2023-08-22 17:30:00,2023-08-22 18:00:00,SELL,25759.78,25848.393816526142,1.1,-110.323198178758,SL,False,9723.3363995075
2023-08-22 18:15:00,2023-08-22 18:30:00,SELL,25835.94,25936.90140105999,0.96,-107.33894501759112,SL,False,9615.997454489909
2023-08-22 18:45:00,2023-08-22 21:15:00,SELL,25892.64,25887.64,0.95,65.61085578947367,SL,True,9681.608310279384
2023-08-25 08:00:00,2023-08-25 13:00:00,SELL,26027.8,26141.201647265567,0.85,-104.25390017573244,SL,False,9577.354410103651
2023-08-26 10:00:00,2023-08-27 14:00:00,SELL,25990.38,26075.662744444933,1.12,-109.39347377832405,SL,False,9467.960936325328
2023-08-28 08:00:00,2023-08-28 11:45:00,SELL,25897.67,25963.665038257586,1.43,-108.90170470835088,SL,False,9359.059231616977
2023-09-03 15:00:00,2023-09-03 18:15:00,SELL,25879.54,25956.743954125897,1.21,-104.82708449233465,SL,False,9254.232147124641
2023-09-04 11:00:00,2023-09-04 15:00:00,SELL,25899.61,25779.122122496017,1.15,146.47311938709294,TP,True,9400.705266511735
2023-09-04 16:00:00,2023-09-04 17:15:00,SELL,25823.69,25909.82815831584,1.09,-106.45829256426558,SL,False,9294.246973947469
2023-09-04 17:30:00,2023-09-04 21:15:00,SELL,25870.73,25726.66077948865,0.96,133.45642584544714,TP,True,9427.703399792916
2023-09-05 10:00:00,2023-09-05 14:30:00,SELL,25764.94,25611.48887871638,0.92,130.1207157904646,TP,True,9557.82411558338
2023-09-06 10:00:00,2023-09-06 14:00:00,SELL,25755.02,25633.65514190254,1.18,149.4457216381362,TP,True,9707.269837221516
2023-09-06 14:15:00,2023-09-06 17:00:00,SELL,25568.36,25563.36,1.23,82.01682276422764,SL,True,9789.286659985744
2023-09-06 17:15:00,2023-09-06 17:45:00,SELL,25606.68,25699.5394734638,1.05,-110.83744713698903,SL,False,9678.449212848755
2023-09-06 18:00:00,2023-09-06 18:15:00,SELL,25813.17,25808.17,0.92,62.792300000000004,SL,True,9741.241512848754
2023-09-06 18:30:00,2023-09-07 03:30:00,SELL,25697.95,25802.274511073527,0.93,-107.70749529837926,SL,False,9633.534017550375
2023-09-07 14:00:00,2023-09-07 14:45:00,SELL,25659.18,25742.291565033083,1.15,-108.34329978804547,SL,False,9525.190717762329
2023-09-07 15:00:00,2023-09-07 16:30:00,SELL,25769.22,25858.225738959292,1.07,-106.38554068644159,SL,False,9418.805177075887
2023-09-10 11:00:00,2023-09-10 14:45:00,SELL,25815.49,25735.66455472082,1.76,111.80478369135805,TP,False,9530.609960767244
2023-09-10 15:00:00,2023-09-10 16:45:00,SELL,25744.0,25666.119223172147,1.83,110.95432159497093,TP,False,9641.564282362215
2023-09-10 17:00:00,2023-09-10 19:30:00,SELL,25711.65,25626.132110796396,1.69,116.30223275409345,TP,False,9757.866515116308
2023-09-10 19:45:00,2023-09-10 20:00:00,SELL,25781.18,25844.997222025202,1.52,-121.99097747830669,SL,False,9635.875537638001
2023-09-11 11:00:00,2023-09-11 14:00:00,SELL,25674.28,25527.371810090743,0.98,136.49596305553553,TP,True,9772.371500693538
